data,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável,data
1990-10-01,1,Brasil,2,%,14.36,1,Brasil,199010,outubro 1990,63,IPCA - Variação mensal,1990-10-01
1990-11-01,1,Brasil,2,%,16.81,1,Brasil,199011,novembro 1990,63,IPCA - Variação mensal,1990-11-01
1990-12-01,1,Brasil,2,%,18.44,1,Brasil,199012,dezembro 1990,63,IPCA - Variação mensal,1990-12-01
1991-01-01,1,Brasil,2,%,20.75,1,Brasil,199101,janeiro 1991,63,IPCA - Variação mensal,1991-01-01
1991-02-01,1,Brasil,2,%,20.72,1,Brasil,199102,fevereiro 1991,63,IPCA - Variação mensal,1991-02-01
1991-03-01,1,Brasil,2,%,11.92,1,Brasil,199103,março 1991,63,IPCA - Variação mensal,1991-03-01
1991-04-01,1,Brasil,2,%,4.99,1,Brasil,199104,abril 1991,63,IPCA - Variação mensal,1991-04-01
1991-05-01,1,Brasil,2,%,7.43,1,Brasil,199105,maio 1991,63,IPCA - Variação mensal,1991-05-01
1991-06-01,1,Brasil,2,%,11.19,1,Brasil,199106,junho 1991,63,IPCA - Variação mensal,1991-06-01
1991-07-01,1,Brasil,2,%,12.41,1,Brasil,199107,julho 1991,63,IPCA - Variação mensal,1991-07-01
1991-08-01,1,Brasil,2,%,15.63,1,Brasil,199108,agosto 1991,63,IPCA - Variação mensal,1991-08-01
1991-09-01,1,Brasil,2,%,15.63,1,Brasil,199109,setembro 1991,63,IPCA - Variação mensal,1991-09-01
1991-10-01,1,Brasil,2,%,20.23,1,Brasil,199110,outubro 1991,63,IPCA - Variação mensal,1991-10-01
1991-11-01,1,Brasil,2,%,25.21,1,Brasil,199111,novembro 1991,63,IPCA - Variação mensal,1991-11-01
1991-12-01,1,Brasil,2,%,23.71,1,Brasil,199112,dezembro 1991,63,IPCA - Variação mensal,1991-12-01
1992-01-01,1,Brasil,2,%,25.94,1,Brasil,199201,janeiro 1992,63,IPCA - Variação mensal,1992-01-01
1992-02-01,1,Brasil,2,%,24.32,1,Brasil,199202,fevereiro 1992,63,IPCA - Variação mensal,1992-02-01
1992-03-01,1,Brasil,2,%,21.4,1,Brasil,199203,março 1992,63,IPCA - Variação mensal,1992-03-01
1992-04-01,1,Brasil,2,%,19.93,1,Brasil,199204,abril 1992,63,IPCA - Variação mensal,1992-04-01
1992-05-01,1,Brasil,2,%,24.86,1,Brasil,199205,maio 1992,63,IPCA - Variação mensal,1992-05-01
1992-06-01,1,Brasil,2,%,20.21,1,Brasil,199206,junho 1992,63,IPCA - Variação mensal,1992-06-01
1992-07-01,1,Brasil,2,%,21.83,1,Brasil,199207,julho 1992,63,IPCA - Variação mensal,1992-07-01
1992-08-01,1,Brasil,2,%,22.14,1,Brasil,199208,agosto 1992,63,IPCA - Variação mensal,1992-08-01
1992-09-01,1,Brasil,2,%,24.63,1,Brasil,199209,setembro 1992,63,IPCA - Variação mensal,1992-09-01
1992-10-01,1,Brasil,2,%,25.24,1,Brasil,199210,outubro 1992,63,IPCA - Variação mensal,1992-10-01
1992-11-01,1,Brasil,2,%,22.49,1,Brasil,199211,novembro 1992,63,IPCA - Variação mensal,1992-11-01
1992-12-01,1,Brasil,2,%,25.24,1,Brasil,199212,dezembro 1992,63,IPCA - Variação mensal,1992-12-01
